name,method,time to repair,number of changes
./out/supercat00/88,IG,16.61,5
./out/supercat00/88,UNI,41.65,5
./out/supercat00/38,SHAP,24.79,4
./out/supercat00/38,IG,16.23,4
./out/supercat00/38,UNI,295.38,4
./out/supercat00/36,SHAP,57.36,6
./out/supercat00/36,IG,16.07,5
./out/supercat00/36,UNI,41.87,5
./out/supercat00/31,SHAP,63.76,5
./out/supercat00/31,IG,15.91,5
./out/supercat00/31,UNI,63.17,5
./out/supercat00/91,SHAP,42.49,5
./out/supercat00/91,IG,16.01,5
./out/supercat00/91,UNI,45.88,5
./out/supercat00/62,SHAP,42.95,5
./out/supercat00/62,IG,16.11,5
./out/supercat00/62,UNI,41.74,5
./out/supercat00/96,SHAP,17.78,4
./out/supercat00/96,IG,16.03,4
./out/supercat00/96,UNI,111.83,4
./out/supercat00/100,SHAP,41.11,6
./out/supercat00/100,IG,16.53,5
./out/supercat00/100,UNI,42.23,5
./out/supercat00/54,SHAP,17.97,4
./out/supercat00/54,IG,16.02,4
./out/supercat00/54,UNI,111.99,4
./out/supercat00/98,SHAP,893.66,5
./out/supercat00/98,IG,16.24,5
./out/supercat00/98,UNI,952.16,5
./out/supercat00/53,SHAP,24.98,4
./out/supercat00/53,IG,16.05,4
./out/supercat00/53,UNI,295.73,4
./out/supercat00/30,SHAP,79.6,5
./out/supercat00/30,IG,16.0,5
./out/supercat00/30,UNI,46.06,5
./out/supercat00/37,SHAP,297.49,5
./out/supercat00/37,IG,15.98,5
./out/supercat00/37,UNI,953.12,5
./out/supercat00/39,SHAP,913.24,5
./out/supercat00/39,IG,16.07,5
./out/supercat00/39,UNI,969.98,5
./out/supercat00/99,SHAP,51.19,5
./out/supercat00/99,IG,16.17,5
./out/supercat00/99,UNI,46.29,5
./out/supercat00/52,SHAP,56.86,5
./out/supercat00/52,IG,16.31,5
./out/supercat00/52,UNI,51.35,5
./out/supercat00/97,SHAP,60.83,6
./out/supercat00/97,IG,16.31,5
./out/supercat00/97,UNI,41.82,5
./out/supercat00/63,SHAP,39.3,5
./out/supercat00/63,IG,16.1,5
./out/supercat00/63,UNI,46.23,5
./out/supercat00/90,SHAP,65.09,5
./out/supercat00/90,IG,16.15,5
./out/supercat00/90,UNI,63.0,5
./out/supercat00/46,SHAP,24.91,4
./out/supercat00/46,IG,15.9,4
./out/supercat00/46,UNI,294.96,4
./out/supercat00/79,SHAP,68.95,6
./out/supercat00/79,IG,16.21,5
./out/supercat00/79,UNI,51.08,5
./out/supercat00/41,SHAP,50.65,4
./out/supercat00/41,IG,16.0,4
./out/supercat00/41,UNI,295.39,4
./out/supercat00/83,SHAP,38.35,5
./out/supercat00/83,IG,16.1,5
./out/supercat00/83,UNI,46.24,5
./out/supercat00/77,SHAP,47.05,4
./out/supercat00/77,IG,16.56,4
./out/supercat00/77,UNI,361.27,4
./out/supercat00/48,SHAP,454.91,5
./out/supercat00/48,IG,15.99,5
./out/supercat00/48,UNI,955.41,5
./out/supercat00/70,SHAP,43.11,5
./out/supercat00/70,IG,16.09,5
./out/supercat00/70,UNI,46.07,5
./out/supercat00/84,SHAP,45.46,5
./out/supercat00/84,IG,16.36,5
./out/supercat00/84,UNI,51.25,5
./out/supercat00/24,SHAP,900.48,4
./out/supercat00/24,IG,16.04,4
./out/supercat00/24,UNI,364.39,4
./out/supercat00/23,SHAP,342.97,4
./out/supercat00/23,IG,15.97,4
./out/supercat00/23,UNI,295.25,4
./out/supercat00/4,SHAP,46.32,5
./out/supercat00/4,IG,15.83,5
./out/supercat00/4,UNI,42.88,5
./out/supercat00/15,SHAP,58.64,5
./out/supercat00/15,IG,16.37,5
./out/supercat00/15,UNI,51.59,5
./out/supercat00/3,SHAP,1018.46,5
./out/supercat00/3,IG,15.83,5
./out/supercat00/3,UNI,1008.84,5
./out/supercat00/12,SHAP,899.8,4
./out/supercat00/12,IG,16.11,4
./out/supercat00/12,UNI,293.81,4
./out/supercat00/85,SHAP,56.26,5
./out/supercat00/85,IG,16.15,5
./out/supercat00/85,UNI,46.5,5
./out/supercat00/71,SHAP,875.13,5
./out/supercat00/71,IG,15.97,5
./out/supercat00/71,UNI,954.98,5
./out/supercat00/76,SHAP,894.38,5
./out/supercat00/76,IG,16.08,5
./out/supercat00/76,UNI,955.08,5
./out/supercat00/82,SHAP,38.59,5
./out/supercat00/82,IG,16.18,5
./out/supercat00/82,UNI,46.4,5
./out/supercat00/49,SHAP,17.93,4
./out/supercat00/49,IG,16.08,4
./out/supercat00/49,UNI,112.01,4
./out/supercat00/40,SHAP,37.52,5
./out/supercat00/40,IG,15.97,5
./out/supercat00/40,UNI,46.2,5
./out/supercat00/47,SHAP,921.23,5
./out/supercat00/47,IG,16.0,5
./out/supercat00/47,UNI,954.66,5
./out/supercat00/78,SHAP,1322.96,5
./out/supercat00/78,IG,16.21,5
./out/supercat00/78,UNI,956.68,5
./out/supercat00/2,SHAP,68.96,5
./out/supercat00/2,IG,16.06,5
./out/supercat00/2,UNI,41.98,5
./out/supercat00/13,SHAP,1039.81,5
./out/supercat00/13,IG,15.89,5
./out/supercat00/13,UNI,1020.72,5
./out/supercat00/5,SHAP,46.28,5
./out/supercat00/5,IG,15.86,5
./out/supercat00/5,UNI,565.41,5
./out/supercat00/14,SHAP,1037.59,5
./out/supercat00/14,IG,16.04,5
./out/supercat00/14,UNI,1018.4,5
./out/supercat00/25,SHAP,130.36,4
./out/supercat00/25,UNI,112.21,4
./out/supercat01/61,SHAP,29.04,6
./out/supercat01/61,UNI,51.44,5
./out/supercat01/95,SHAP,29.0,5
./out/supercat01/95,IG,16.44,5
./out/supercat01/95,UNI,45.73,5
