name,method,time to repair,number of changes
./out/supercat02/34,UNI,1050.42,5
./out/supercat02/33,SHAP,8.69,4
./out/supercat02/33,IG,709.77,4
./out/supercat02/33,UNI,343.94,4
./out/supercat02/18,SHAP,8.74,4
./out/supercat02/18,IG,732.27,4
./out/supercat02/18,UNI,361.05,4
./out/supercat02/27,SHAP,8.95,4
./out/supercat02/27,IG,703.05,4
./out/supercat02/27,UNI,323.94,4
./out/supercat02/9,SHAP,8.9,4
./out/supercat02/9,IG,731.57,4
./out/supercat02/9,UNI,363.75,4
./out/supercat02/11,SHAP,9.21,6
./out/supercat02/11,IG,51.93,5
./out/supercat02/11,UNI,51.28,5
./out/supercat02/7,SHAP,9.13,5
./out/supercat02/7,IG,56.12,5
./out/supercat02/7,UNI,46.11,5
./out/supercat02/29,SHAP,8.7,4
./out/supercat02/29,IG,153.3,4
./out/supercat02/29,UNI,115.28,4
./out/supercat02/16,SHAP,8.86,5
./out/supercat02/16,IG,87.49,5
./out/supercat02/16,UNI,62.77,5
./out/supercat02/42,SHAP,8.91,4
./out/supercat02/42,IG,279.16,4
./out/supercat02/42,UNI,285.28,4
./out/supercat02/89,SHAP,27.63,5
./out/supercat02/89,IG,55.67,5
./out/supercat02/89,UNI,46.32,5
./out/supercat02/45,SHAP,8.61,5
./out/supercat02/45,IG,53.83,5
./out/supercat02/45,UNI,46.86,5
./out/supercat02/73,SHAP,28.26,4
./out/supercat02/73,IG,266.34,4
./out/supercat02/73,UNI,335.06,4
./out/supercat02/87,SHAP,27.72,5
./out/supercat02/87,IG,817.67,5
./out/supercat02/87,UNI,1172.72,5
./out/supercat02/80,SHAP,28.15,4
./out/supercat02/80,IG,155.61,4
./out/supercat02/80,UNI,114.51,4
./out/supercat02/74,SHAP,28.33,5
./out/supercat02/74,IG,54.51,5
./out/supercat02/74,UNI,46.58,5
./out/supercat02/6,SHAP,9.34,4
./out/supercat02/6,IG,167.33,4
./out/supercat02/6,UNI,112.49,4
./out/supercat02/28,SHAP,8.7,4
./out/supercat02/28,IG,155.39,4
./out/supercat02/28,UNI,115.51,4
./out/supercat02/1,SHAP,48.61,5
./out/supercat02/1,IG,58.14,5
./out/supercat02/1,UNI,45.86,5
./out/supercat02/10,SHAP,8.53,4
./out/supercat02/10,IG,167.52,4
./out/supercat02/10,UNI,111.9,4
./out/supercat02/19,SHAP,8.86,6
./out/supercat02/19,IG,51.98,5
./out/supercat02/19,UNI,51.4,5
./out/supercat02/26,IG,1675.76,5
./out/supercat02/26,UNI,760.72,5
./out/supercat02/8,SHAP,8.8,5
./out/supercat02/8,IG,36.51,5
./out/supercat02/8,UNI,40.9,5
./out/supercat02/21,SHAP,8.68,5
./out/supercat02/21,IG,1676.13,5
./out/supercat02/21,UNI,755.91,5
./out/supercat02/75,SHAP,17.3,5
./out/supercat02/75,IG,1665.95,5
./out/supercat02/75,UNI,569.04,5
./out/supercat02/81,SHAP,27.87,5
./out/supercat02/81,IG,54.65,5
./out/supercat02/81,UNI,46.31,5
./out/supercat02/86,SHAP,28.48,6
./out/supercat02/86,IG,50.39,5
./out/supercat02/86,UNI,51.3,5
./out/supercat02/72,SHAP,28.15,6
./out/supercat02/72,IG,35.11,5
./out/supercat02/72,UNI,42.25,5
./out/supercat02/44,SHAP,8.42,6
./out/supercat02/44,IG,49.75,5
./out/supercat02/44,UNI,51.63,5
./out/supercat02/43,SHAP,8.67,5
./out/supercat02/43,IG,35.32,5
./out/supercat02/43,UNI,43.0,5
./out/supercat02/88,SHAP,27.82,5
./out/supercat02/88,IG,1679.38,5
./out/supercat02/88,UNI,665.84,5
./out/supercat02/38,SHAP,8.64,5
./out/supercat02/38,IG,1670.99,5
./out/supercat02/38,UNI,1052.26,5
./out/supercat02/36,SHAP,8.9,5
./out/supercat02/36,IG,1663.7,5
./out/supercat02/36,UNI,1053.83,5
./out/supercat02/31,SHAP,8.78,5
./out/supercat02/31,IG,811.28,5
./out/supercat02/31,UNI,1098.41,5
./out/supercat02/91,SHAP,27.68,5
./out/supercat02/91,IG,55.51,5
./out/supercat02/91,UNI,46.42,5
./out/supercat02/65,SHAP,139.13,4
./out/supercat02/65,IG,155.92,4
./out/supercat02/65,UNI,111.52,4
./out/supercat02/62,SHAP,41.14,5
./out/supercat02/62,IG,50.29,5
./out/supercat02/62,UNI,51.1,5
./out/supercat02/96,SHAP,27.76,5
./out/supercat02/96,IG,43.74,5
./out/supercat02/96,UNI,47.1,5
./out/supercat02/54,SHAP,9.53,4
./out/supercat02/54,IG,152.93,4
./out/supercat02/54,UNI,111.54,4
./out/supercat02/30,SHAP,8.74,5
./out/supercat02/30,IG,55.48,5
./out/supercat02/30,UNI,46.88,5
./out/supercat02/37,SHAP,8.64,6
./out/supercat02/37,IG,82.65,5
./out/supercat02/37,UNI,62.85,5
./out/supercat02/39,SHAP,8.61,4
./out/supercat02/39,IG,153.85,4
./out/supercat02/39,UNI,113.02,4
./out/supercat02/99,SHAP,17.27,5
./out/supercat02/99,IG,958.01,5
./out/supercat02/99,UNI,1016.65,5
./out/supercat02/52,SHAP,8.71,5
./out/supercat02/52,IG,82.53,5
./out/supercat02/52,UNI,62.56,5
./out/supercat02/55,SHAP,1050.29,5
./out/supercat02/55,IG,1204.69,5
./out/supercat02/55,UNI,963.58,5
./out/supercat02/97,SHAP,27.8,5
./out/supercat02/97,IG,82.32,5
./out/supercat02/97,UNI,51.71,5
./out/supercat02/64,SHAP,920.66,4
./out/supercat02/64,IG,320.32,4
./out/supercat02/64,UNI,290.01,4
./out/supercat02/90,SHAP,27.98,5
./out/supercat02/90,IG,1683.65,5
./out/supercat02/90,UNI,593.78,5
./out/supercat02/46,SHAP,8.64,5
./out/supercat02/46,IG,804.86,5
./out/supercat02/46,UNI,962.5,5
./out/supercat02/79,SHAP,27.63,6
./out/supercat02/79,IG,35.46,5
./out/supercat02/79,UNI,42.2,5
./out/supercat02/41,SHAP,8.64,6
./out/supercat02/41,IG,35.49,5
./out/supercat02/41,UNI,42.94,5
./out/supercat02/83,SHAP,27.93,5
