name,method,time to repair,number of changes
./out/mario01/46,IG,0.14,1
./out/mario01/46,UNI,1800.45,1
./out/mario01/79,SHAP,998.48,1
./out/mario01/79,IG,0.14,1
./out/mario01/79,UNI,1419.72,1
./out/mario01/77,SHAP,1526.35,2
./out/mario01/77,IG,0.13,1
./out/mario01/77,UNI,734.52,1
./out/mario01/48,SHAP,732.97,1
./out/mario01/48,IG,0.13,1
./out/mario01/48,UNI,742.61,1
./out/mario01/70,SHAP,1604.63,1
./out/mario01/70,IG,0.14,1
./out/mario01/70,UNI,2715.2,1
./out/mario01/4,SHAP,1834.56,1
./out/mario01/4,IG,2536.91,1
./out/mario01/4,UNI,3116.72,1
./out/mario01/15,SHAP,98.21,1
./out/mario01/15,IG,,1
./out/mario01/15,UNI,221.09,1
./out/mario01/3,SHAP,2634.27,1
./out/mario01/3,IG,1635.62,1
./out/mario01/3,UNI,2556.85,1
./out/mario01/71,SHAP,1947.37,1
./out/mario01/71,IG,0.15,1
./out/mario01/71,UNI,2950.32,1
./out/mario01/76,SHAP,1501.37,2
./out/mario01/76,IG,0.18,1
./out/mario01/76,UNI,1508.16,1
./out/mario01/82,SHAP,1697.98,1
./out/mario01/82,IG,0.13,1
./out/mario01/82,UNI,3256.5,1
./out/mario01/49,SHAP,1364.25,1
./out/mario01/49,IG,0.15,1
./out/mario01/49,UNI,2707.97,1
./out/mario01/40,SHAP,2389.35,1
./out/mario01/40,IG,0.14,1
./out/mario01/40,UNI,1296.34,1
./out/mario01/47,SHAP,1391.88,1
./out/mario01/47,IG,0.16,1
./out/mario01/47,UNI,536.06,1
./out/mario01/2,SHAP,1181.39,1
./out/mario01/2,IG,2888.69,1
./out/mario01/2,UNI,2595.27,1
./out/mario01/14,SHAP,1297.11,1
./out/mario01/14,IG,,1
./out/mario01/14,UNI,2652.93,1
./out/mario01/22,SHAP,1409.03,1
./out/mario01/22,IG,0.17,1
./out/mario01/22,UNI,1402.63,1
./out/mario02/35,SHAP,569.94,1
./out/mario02/35,IG,0.17,1
./out/mario02/35,UNI,566.67,1
./out/mario02/18,SHAP,1478.05,1
./out/mario02/18,IG,0.16,1
./out/mario02/18,UNI,734.82,1
./out/mario02/9,SHAP,1497.97,1
./out/mario02/9,IG,3751.19,1
./out/mario02/9,UNI,2662.99,1
./out/mario02/29,SHAP,2696.85,1
./out/mario02/29,IG,0.14,1
./out/mario02/29,UNI,1500.64,1
./out/mario02/42,SHAP,35.87,1
./out/mario02/42,IG,0.16,1
./out/mario02/42,UNI,38.29,1
./out/mario02/1,SHAP,334.88,1
./out/mario02/1,IG,3743.26,1
./out/mario02/1,UNI,470.0,1
./out/mario02/10,SHAP,1492.59,1
./out/mario02/10,IG,1372.5,1
./out/mario02/10,UNI,1490.56,1
./out/mario02/19,SHAP,737.44,1
./out/mario02/19,IG,0.17,1
./out/mario02/19,UNI,736.92,1
./out/mario02/26,IG,0.16,1
./out/mario02/26,UNI,1411.66,1
./out/mario02/8,SHAP,1503.66,1
./out/mario02/8,IG,3747.81,1
./out/mario02/8,UNI,2664.9,1
./out/mario02/21,SHAP,734.86,1
./out/mario02/21,IG,0.15,1
./out/mario02/21,UNI,2734.25,1
./out/mario02/36,SHAP,30.39,1
./out/mario02/36,IG,0.15,1
./out/mario02/36,UNI,30.58,1
./out/mario02/37,SHAP,237.69,1
./out/mario02/37,IG,0.16,1
./out/mario02/37,UNI,334.88,1
./out/mario02/46,SHAP,1361.47,1
./out/mario02/46,IG,0.15,1
./out/mario02/46,UNI,1356.89,1
./out/mario02/23,SHAP,985.63,1
./out/mario02/23,IG,0.14,1
./out/mario02/23,UNI,583.43,1
./out/mario02/4,SHAP,1385.81,1
./out/mario02/4,IG,,1
./out/mario02/4,UNI,3121.3,1
./out/mario02/3,SHAP,837.37,1
./out/mario02/3,IG,1615.44,1
./out/mario02/3,UNI,546.08,1
./out/mario02/12,SHAP,1488.65,1
./out/mario02/12,IG,,1
./out/mario02/12,UNI,2643.57,1
./out/mario02/40,SHAP,169.7,1
./out/mario02/40,IG,0.15,1
./out/mario02/40,UNI,724.4,1
./out/mario02/5,SHAP,947.22,1
./out/mario02/5,IG,,1
./out/mario02/5,UNI,2722.74,1
./out/mario02/14,IG,0.16,1
./out/mario02/14,UNI,2131.72,1
./out/mario02/22,SHAP,1865.72,1
./out/mario02/22,IG,0.16,1
./out/mario02/22,UNI,1136.86,1
./out/mario02/25,SHAP,833.65,1
./out/mario02/25,IG,0.18,1
./out/mario02/25,UNI,1993.26,1
./out/mario03/35,IG,0.15,1
./out/mario03/35,UNI,3564.57,1
./out/mario03/20,SHAP,1802.61,1
./out/mario03/20,IG,0.15,1
./out/mario03/20,UNI,3492.99,1
./out/mario03/18,SHAP,3599.33,2
./out/mario03/18,IG,0.15,1
./out/mario03/18,UNI,3304.63,1
./out/mario03/27,SHAP,1725.58,1
./out/mario03/27,IG,0.14,1
./out/mario03/27,UNI,479.62,1
./out/mario03/7,SHAP,173.41,2
./out/mario03/7,IG,1498.48,1
./out/mario03/7,UNI,169.73,1
./out/mario03/29,SHAP,3853.79,2
./out/mario03/29,IG,0.16,1
./out/mario03/29,UNI,1554.63,1
./out/mario03/6,SHAP,782.24,2
./out/mario03/6,IG,1510.82,1
./out/mario03/6,UNI,541.17,1
./out/mario03/1,SHAP,32.29,1
./out/mario03/1,IG,238.49,1
./out/mario03/1,UNI,33.51,1
./out/mario03/19,IG,0.15,1
./out/mario03/19,UNI,3846.29,1
./out/mario03/26,SHAP,3573.23,1
./out/mario03/26,IG,0.2,1
./out/mario03/26,UNI,1331.54,1
./out/mario03/8,SHAP,57.98,1
./out/mario03/8,IG,,1
./out/mario03/8,UNI,58.44,1
./out/mario03/43,SHAP,170.03,1
./out/mario03/43,IG,0.15,1
./out/mario03/43,UNI,634.93,1
./out/mario03/38,IG,0.15,1
./out/mario03/38,UNI,1653.36,1
./out/mario03/37,SHAP,259.94,1
./out/mario03/37,IG,0.14,1
./out/mario03/37,UNI,225.42,1
./out/mario03/23,SHAP,339.63,1
./out/mario03/23,IG,0.17,1
./out/mario03/23,UNI,1504.95,1
./out/mario03/4,SHAP,,2
./out/mario03/4,IG,3745.7,1
./out/mario03/4,UNI,2510.78,1
