name,method,time to repair,number of changes
./out/cave0/44,UNI,36.31,10
./out/cave0/43,SHAP,0.85,3
./out/cave0/43,IG,1.16,3
./out/cave0/43,UNI,1.22,3
./out/cave0/88,SHAP,1.04,2
./out/cave0/88,IG,0.96,2
./out/cave0/88,UNI,1.58,2
./out/cave0/38,SHAP,1.08,7
./out/cave0/38,IG,2.37,7
./out/cave0/38,UNI,3.51,7
./out/cave0/36,SHAP,2.3,4
./out/cave0/36,IG,2.77,4
./out/cave0/36,UNI,6.12,4
./out/cave0/31,SHAP,1.89,1
./out/cave0/31,IG,2.12,1
./out/cave0/31,UNI,1.59,1
./out/cave0/91,SHAP,0.85,1
./out/cave0/91,IG,1.1,1
./out/cave0/91,UNI,0.94,1
./out/cave0/65,SHAP,1.19,5
./out/cave0/65,IG,1.47,4
./out/cave0/65,UNI,1.36,4
./out/cave0/62,SHAP,0.8,2
./out/cave0/62,IG,0.87,2
./out/cave0/62,UNI,0.89,2
./out/cave0/96,SHAP,0.91,3
./out/cave0/96,IG,0.92,3
./out/cave0/96,UNI,1.16,3
./out/cave0/100,SHAP,0.91,2
./out/cave0/100,IG,1.09,2
./out/cave0/100,UNI,1.42,2
./out/cave0/54,SHAP,2.25,5
./out/cave0/54,IG,6.94,5
./out/cave0/54,UNI,3.63,5
./out/cave0/98,SHAP,0.93,1
./out/cave0/98,IG,0.83,2
./out/cave0/98,UNI,1.01,1
./out/cave0/53,SHAP,0.81,1
./out/cave0/53,IG,0.88,1
./out/cave0/53,UNI,0.93,1
./out/cave0/30,SHAP,5.23,3
./out/cave0/30,IG,6.69,3
./out/cave0/30,UNI,7.42,3
./out/cave0/37,SHAP,1.44,2
./out/cave0/37,IG,2.12,2
./out/cave0/37,UNI,2.5,2
./out/cave0/39,SHAP,1.11,3
./out/cave0/39,IG,1.19,3
./out/cave0/39,UNI,1.18,3
./out/cave0/99,SHAP,0.89,2
./out/cave0/99,IG,1.1,2
./out/cave0/99,UNI,1.41,2
./out/cave0/52,SHAP,2.37,4
./out/cave0/52,IG,4.53,4
./out/cave0/52,UNI,2.83,4
./out/cave0/55,SHAP,5.05,5
./out/cave0/55,IG,23.08,5
./out/cave0/55,UNI,14.66,5
./out/cave0/97,SHAP,1.09,4
./out/cave0/97,IG,1.96,4
./out/cave0/97,UNI,2.46,4
./out/cave0/63,SHAP,0.85,2
./out/cave0/63,IG,1.11,2
./out/cave0/63,UNI,0.87,2
./out/cave0/64,SHAP,0.94,3
./out/cave0/64,IG,1.18,3
./out/cave0/64,UNI,1.43,3
./out/cave0/90,SHAP,0.9,3
./out/cave0/90,IG,1.51,3
./out/cave0/90,UNI,1.09,3
./out/cave0/46,SHAP,0.84,4
./out/cave0/46,IG,0.94,4
./out/cave0/46,UNI,1.02,4
./out/cave0/79,SHAP,1.12,2
./out/cave0/79,IG,1.7,3
